Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2017-08-02,20.7,27.0,85.0,3.4,5.9,46,37,19,79,85,1022.1,1021.8,7,7,24.6,23.1
2017-08-03,16.9,23.5,5.0,8.8,1.4,46,17,20,67,56,1018.5,1017.4,8,8,19.9,22.0
2017-08-04,14.9,24.9,0.0,5.0,9.8,37,13,20,68,49,1026.2,1021.4,4,4,18.4,23.1
2017-08-05,10.2,20.1,0.0,4.8,9.9,33,22,20,49,41,1027.9,1025.1,2,1,12.2,18.9
2017-08-06,12.4,18.1,61.0,1.8,1.3,44,17,15,91,84,1024.2,1023.4,5,6,13.3,16.9
2017-09-01,21.3,29.9,0.0,9.6,9.2,31,9,20,57,57,1011.5,1009.2,2,2,27.0,26.7
2017-09-02,22.5,30.9,5.4,5.2,11.8,54,17,20,72,55,1018.6,1013.0,3,1,25.7,29.7
2017-09-03,17.9,25.1,1.0,5.4,2.7,43,15,31,69,54,1017.0,1016.0,7,7,20.3,23.3
2017-09-04,15.5,28.7,0.0,7.0,9.6,67,7,20,62,35,1015.3,1007.1,1,4,20.1,27.9
2017-09-05,10.7,21.0,0.0,9.6,7.5,31,19,13,67,45,1026.9,1024.0,5,1,13.3,19.8
2017-09-06,10.4,18.9,3.4,1.6,4.8,52,19,28,90,64,1027.6,1026.7,6,7,12.5,18.2
2017-10-01,22.6,31.3,0.4,8.2,8.8,31,9,17,73,49,1012.0,1008.1,7,4,24.8,30.5
2017-10-02,23.7,37.5,0.0,10.0,12.0,44,7,17,61,35,1010.4,1006.4,6,2,27.4,36.2
2017-10-03,17.3,25.8,0.6,5.4,7.4,44,17,24,73,51,1015.1,1014.0,3,3,19.3,25.1
2017-10-04,11.7,17.9,8.8,7.8,6.1,54,26,26,51,56,1009.3,1008.5,7,7,13.9,15.7
2017-10-05,10.5,21.7,0.0,3.4,10.0,37,20,13,70,52,1025.1,1021.9,1,1,13.3,20.3
2017-10-06,12.5,18.1,38.8,3.6,0.2,50,17,15,85,70,1031.9,1030.2,7,7,15.8,17.5
2017-11-01,24.0,37.7,0.0,7.4,10.9,63,9,20,53,47,1007.6,1003.4,4,7,29.2,31.4
2017-11-02,23.9,36.2,0.0,11.0,11.4,63,9,19,72,51,1007.8,1002.7,5,3,26.4,33.1
2017-11-03,16.9,26.1,0.2,5.0,10.7,31,17,20,61,47,1014.2,1012.3,5,2,20.1,25.5
2017-11-04,13.8,23.0,0.0,3.6,2.1,54,22,26,56,48,1017.2,1017.3,7,7,17.9,22.2
2017-11-05,10.9,22.1,0.0,2.0,8.5,30,24,19,73,56,1024.7,1022.9,1,7,13.4,19.7
2017-11-06,12.5,17.2,2.8,1.6,0.2,20,15,6,90,85,1029.2,1025.9,5,6,13.1,16.0
2017-12-01,22.3,28.4,0.0,9.4,7.2,31,7,20,68,52,1012.4,1010.7,7,2,24.7,26.8
2017-12-02,24.5,31.9,0.0,10.4,7.8,59,2,33,67,59,1000.5,998.0,1,7,28.1,28.1
2017-12-03,17.4,26.4,0.0,7.2,10.6,46,9,28,62,50,1010.6,1007.7,1,1,22.3,26.0
2017-12-04,15.0,22.7,9.4,4.2,2.8,43,19,17,71,75,1023.7,1022.2,7,7,17.4,20.2
2017-12-05,12.5,19.6,0.4,2.6,1.7,26,19,17,78,71,1027.0,1024.5,7,7,14.1,18.5
2017-12-06,11.3,20.4,1.2,0.8,7.5,26,15,15,92,59,1025.0,1024.0,2,3,11.6,19.1
